t,ytt,xt,xtt,x,xtt+ytt,f
6.46,6,-3.290293974,-14.05354378,0.23541864,-8.053543775,0.47083728
6.48,4.8,-3.531523976,-10.06945643,0.16720046,-5.269456429,0.334400921
6.5,-0.8,-3.648129377,-1.591083695,0.095403927,-2.391083695,0.190807854
6.52,-1.2,-3.647154103,1.688611113,0.022451092,0.488611113,0.044902184
6.54,3.9,-3.635673709,-0.540571716,-0.050377186,3.359428284,-0.100754372
6.56,6.7,-3.645701621,-0.462219522,-0.123190939,6.237780478,-0.246381879
6.58,3.2,-3.591578415,5.874540146,-0.19556374,9.074540146,-0.391127479
6.6,-3.3,-3.382344462,15.0488552,-0.265302968,11.7488552,-0.530605937
6.62,-2.5,-3.065109775,16.67461345,-0.329777511,14.17461345,-0.659555022
6.64,0.4,-2.738933716,15.9429925,-0.387817946,16.3429925,-0.775635891
6.66,-1.1,-2.38617065,19.33331406,-0.439068989,18.23331406,-0.878137979
6.68,-1.7,-1.977815505,21.50220048,-0.482708851,19.80220048,-0.965417702
6.7,4.1,-1.593124242,16.96692579,-0.518418248,21.06692579,-1.036836497
6.72,14.7,-1.349090315,7.436466919,-0.547840394,22.13646692,-1.095680788
6.74,14.9,-1.192914314,8.181133157,-0.57326044,23.08113316,-1.14652088
6.76,5.4,-0.926925612,18.41773704,-0.594458839,23.81773704,-1.188917679
6.78,-5.4,-0.446956444,29.57917982,-0.60819766,24.17917982,-1.21639532
