t,ytt,xtt,xtt+ytt,xt,x,f,
29.86,-23.6,-91.8215596920315,-115.42155969203151,-23.669823271343525,3.159122007698608,6.318244015397216,
29.88,-35.7,-60.005319033670524,-95.70531903367052,-25.188092058600546,2.670542854399167,5.341085708798334,
29.9,-35.2,-39.925933490423674,-75.12593349042368,-26.187404583841488,2.1567878879747466,4.313575775949493,
29.92,-34.8,-19.281387484776786,-54.08138748477678,-26.779477793593493,1.6271190642003968,3.2542381284007935,
29.94,-43,9.998068411754895,-33.00193158824511,-26.87231098432371,1.0906011764212247,2.1812023528424493,
29.96,-52.1,39.797086153881274,-12.302913846118727,-26.374359438667348,0.5581344721913141,1.1162689443826281,
29.98,-51,58.686712002914874,7.686712002914874,-25.389521457099388,0.040495663233646687,0.08099132646729337,
30,-45.5,72.17119148973896,26.67119148973896,-24.08094242217285,-0.45420897555907574,-0.9084179511181515,
30.02,-40.5,84.91871868740544,44.418718687405445,-22.510043320401405,-0.9201188329848183,-1.8402376659696367,
30.04,-36.3,97.03541513951232,60.73541513951233,-20.690501982132226,-1.3521242860101546,-2.704248572020309,
30.06,-22.2,97.77555474811317,75.57555474811316,-18.74239228325597,-1.7464532286640364,-3.492906457328073,
30.08,1.6,87.40334599288904,89.00334599288904,-16.890603275845947,-2.1027831842550557,-4.2055663685101115,
30.1,20.1,80.96880447787301,101.06880447787302,-15.206881771138328,-2.4237580347248984,-4.847516069449797,
30.12,22.6,89.11427580739839,111.7142758073984,-13.506050968285614,-2.710887362119138,-5.421774724238276,
30.14,14.6,106.18403031541378,120.78403031541377,-11.553067907057493,-2.961478550872569,-5.922957101745138,
30.16,9.5,118.61682711380024,128.11682711380024,-9.305059332765353,-3.1700598232707975,-6.340119646541595,
30.18,12.1,121.50640771962192,133.60640771962193,-6.903826984431131,-3.3321486864427623,-6.664297372885525,
30.2,12.2,124.94220506602397,137.14220506602396,-4.439340856574672,-3.44558036485282,-6.89116072970564,
30.22,6.1,132.52371884421234,138.62371884421233,-1.8646816174723089,-3.50862058959329,-7.01724117918658,
30.24,-17.7,155.45770813537914,137.75770813537915,1.0151326523236057,-3.5171160792447766,-7.034232158489553,
