t,ytt,xtt,xt,x,f
6.82,-8.3,31.67521123,0.854347739,-0.600259437,-1.200518875
6.84,-5,27.24590666,1.443558918,-0.577280371,-1.154560741
6.86,-4.2,24.9036409,1.965054393,-0.543194238,-1.086388475
6.88,-3.8,22.58558602,2.439946662,-0.499144227,-0.998288454
6.9,-2.3,18.83937375,2.85419626,-0.446202798,-0.892405596
6.92,-1.9,15.9175454,3.201765452,-0.385643181,-0.771286361
6.94,-1.4,12.66890953,3.487630001,-0.318749226,-0.637498452
6.96,-1,9.345287124,3.707771967,-0.246795207,-0.493590413
6.98,2.5,2.823829487,3.829463133,-0.171422856,-0.342845711
7,8.3,-5.975469827,3.79794673,-0.095148757,-0.190297514
7.02,8.3,-8.859714084,3.649594891,-0.020673341,-0.041346681
7.04,7,-10.29349894,3.458062761,0.050403236,0.100806472
7.06,0.5,-6.395077546,3.291176996,0.117895633,0.235791267
7.08,-5.2,-3.219483933,3.195031381,0.182757717,0.365515434
7.1,-3.5,-7.360525695,3.089231285,0.245600344,0.491200688
7.12,-0.5,-12.64528505,2.889173177,0.305384388,0.610768777
7.14,-1.6,-13.62374685,2.626482858,0.360540949,0.721081898
7.16,-4.2,-12.89288577,2.361316532,0.410418943,0.820837885
7.18,-3.8,-14.9424801,2.082962873,0.454861737,0.909723474
7.2,0.4,-20.51348131,1.728403259,0.492975398,0.985950796
7.22,4.9,-26.01904727,1.263077973,0.52289021,1.045780421
7.24,2.3,-24.03006696,0.762586831,0.543146858,1.086293717
7.26,-3.9,-18.10697809,0.341216381,0.554184891,1.108369781
7.28,-1.5,-20.4785978,-0.044639378,0.557150661,1.114301321
7.3,6,-27.57250542,-0.52515041,0.551452763,1.102905525
7.32,6.8,-27.53257587,-1.076201223,0.535439246,1.070878493
7.34,1.4,-20.90898147,-1.560616797,0.509071066,1.018142132
7.36,-3.8,-14.20576093,-1.911764221,0.474347256,0.948694512
7.38,-5.5,-10.80327882,-2.161854618,0.433611068,0.867222135
7.4,4.2,-18.56965379,-2.455583944,0.387436682,0.774873364
7.42,9.6,-21.71985792,-2.858479061,0.334296052,0.668592104
7.44,3,-12.59803629,-3.201658003,0.273694681,0.547389363
7.46,-6.5,-0.469258308,-3.332330949,0.208354792,0.416709584
7.48,-14,9.591441988,-3.241109113,0.142620391,0.285240782
7.5,-20.5,18.434224,-2.960852453,0.080600776,0.161201551
7.52,-28.9,28.80742006,-2.488436012,0.026107891,0.052215782
7.54,-32.8,34.1860424,-1.858501388,-0.017361483,-0.034722966
7.56,-29.5,31.84385385,-1.198202425,-0.047928521,-0.095857043
7.58,-15.5,18.40213047,-0.695742582,-0.066867971,-0.133735943
7.6,-9.1,12.31440417,-0.388577236,-0.07771117,-0.155422339
7.62,-10.4,13.72028317,-0.128230362,-0.082879245,-0.165758491
7.64,-9.9,13.11442615,0.140116731,-0.082760382,-0.165520764
7.66,-0.3,3.27728722,0.304033865,-0.078318876,-0.156637752
7.68,9.1,-6.339137692,0.27341536,-0.072544384,-0.145088767
7.7,9.4,-6.753968449,0.142484299,-0.068385387,-0.136770774
7.72,0.5,2.069682619,0.09564144,-0.06600413,-0.132008259
7.74,-6.8,9.207135468,0.208409621,-0.062963619,-0.125927238
7.76,-3.4,5.528853108,0.355769507,-0.057321828,-0.114643655
7.78,0.2,1.592984184,0.42698788,-0.049494254,-0.098988508
7.8,-0.2,1.630966413,0.459227386,-0.040632101,-0.081264202
7.82,-3.5,4.520896445,0.520746014,-0.030832367,-0.061664734
7.84,5.2,-4.589736834,0.520057611,-0.020424331,-0.040848662
7.86,23.4,-22.98752338,0.244285008,-0.012780905,-0.025561809
7.88,30.7,-30.07091121,-0.286299338,-0.013201048,-0.026402096
7.9,23.5,-22.24112692,-0.809419719,-0.024158239,-0.048316477
7.92,7,-4.89262315,-1.08075722,-0.043060008,-0.086120016
7.94,-9.8,12.70044967,-1.002678954,-0.06389437,-0.127788739
7.96,-17.6,21.0317961,-0.665356497,-0.080574724,-0.161149448
7.98,-16.8,20.43709389,-0.250667597,-0.089734965,-0.17946993
8,-13.1,16.64879337,0.120191276,-0.091039728,-0.182079457
8.02,-6.8,10.047856,0.38715777,-0.085966238,-0.171932476
8.04,3.6,-0.72974639,0.480338866,-0.077291272,-0.154582543
8.06,12.4,-9.827528319,0.374766119,-0.068740222,-0.137480443
8.08,12,-9.573697915,0.180753856,-0.063185022,-0.126370044
